iter	Passed	Remaining
0	161	161516
1	166	83066
2	172	57326
3	176	44048
4	182	36237
5	188	31272
6	193	27421
7	198	24552
8	203	22420
9	208	20595
10	218	19631
11	224	18457
12	230	17472
13	236	16674
14	242	15909
15	247	15239
16	253	14665
17	258	14123
18	266	13740
19	271	13284
20	275	12829
21	279	12425
22	285	12106
23	289	11771
24	295	11526
25	301	11288
26	307	11079
27	311	10825
28	318	10649
29	326	10565
30	332	10389
31	336	10186
32	340	9991
33	346	9848
34	350	9677
35	355	9510
36	360	9380
37	367	9302
38	374	9233
39	382	9189
40	388	9096
41	404	9231
42	417	9285
43	423	9203
44	438	9297
45	450	9335
46	457	9273
47	489	9713
48	497	9650
49	502	9554
50	508	9455
51	517	9426
52	523	9351
53	534	9355
54	542	9323
55	552	9307
56	557	9226
57	571	9277
58	579	9247
59	585	9172
60	591	9102
61	600	9085
62	607	9037
63	616	9020
64	624	8985
65	633	8967
66	664	9258
67	671	9205
68	683	9215
69	687	9138
70	696	9117
71	701	9046
72	709	9004
73	714	8945
74	719	8871
75	727	8841
76	732	8776
77	740	8752
78	745	8692
79	750	8633
80	758	8600
81	763	8541
82	767	8484
83	775	8452
84	779	8394
85	784	8333
86	791	8301
87	796	8249
88	802	8211
89	812	8211
90	820	8192
91	826	8158
92	831	8105
93	835	8054
94	839	8001
95	845	7963
96	850	7915
97	853	7859
98	859	7824
99	863	7773
100	868	7733
101	874	7697
102	878	7649
103	883	7614
104	888	7571
105	895	7548
106	901	7525
107	910	7516
108	915	7482
109	920	7448
110	927	7430
111	932	7396
112	938	7363
113	953	7407
114	961	7400
115	966	7362
116	972	7337
117	977	7305
118	981	7269
119	988	7248
120	994	7223
121	999	7190
122	1007	7182
123	1012	7154
124	1024	7172
125	1030	7146
126	1037	7129
127	1041	7096
128	1046	7064
129	1050	7029
130	1057	7015
131	1061	6981
132	1065	6947
133	1072	6929
134	1077	6903
135	1081	6871
136	1087	6851
137	1091	6820
138	1096	6791
139	1112	6831
140	1121	6830
141	1126	6804
142	1132	6784
143	1138	6765
144	1142	6734
145	1147	6710
